"","AnoLancamento","Titulo","Diretor","Produtora","UF","Distribuidora","Genero","MaxSalas","Renda","Publico"
"1",2014,"12 de Junho de 1993 - O Dia da Paixão Palmeirense","Jaime Queiroz, Mauro Beting","Canal Azul Consultoria Audiovisual","SP","Elo Company","Documentário",8,"17.102,01","1.236"
"2",2014,"A Balada do Provisório","Felipe David Rodrigues","Maria Gorda Produções Artísticas","RJ","Maria Gorda Produções Artísticas","Ficção",1,"150,00","20"
"3",2014,"A Casa Elétrica","Gustavo Fogaça","Panda Filmes","RS","Panda","Ficção",2,"2.752,35","351"
"4",2014,"A Farra do Circo","Roberto Berliner/PEDRO BRONZ","TV ZERO CINEMA LTDA","RJ","ArtHouse","Documentário",6,"14.199,54","942"
"5",2014,"A Grande Vitória","Stefano Capuzzi Lapietra","ALFA FILMES & PRODUÇÕES LTDA","SP","Downtown/Paris","Ficção",90,"310.608,29","26.550"
"6",2014,"A História do Homem Henry Sobel","André Bushatsky","Twins Bushatsky Produções Cinematográficas","SP","Espaço Filmes ","Documentário",10,"17.411,55","1.390"
"7",2014,"A Noite da Virada","Fábio Mendonça","O2 CINEMA LTDA","SP","Downtown/Paris","Ficção",297,"3.822.375,89","319.650"
"8",2014,"A Oeste do Fim do Mundo","Paulo Nascimento","Accorde Filmes","RS","Espaço Filmes ","Ficção",16,"58.279,37","4.774"
"9",2014,"A Onda da Vida – Uma História de Amor & Surf","José Augusto Costa Henriques","IDÉIAS IDEAIS DESIGN & PRODUÇÕES LTDA /  JOSÉ AUGUSTO COSTA HENRIQUES","RJ","Ideias Ideais","Ficção",16,"59.878,11","4.849"
"10",2014,"A Pelada","Damien Chemin","W.G. PRODUÇÕES E PUBLICIDADE LTDA","SE","Downtown/Paris","Ficção",4,"76.281,27","7.517"
"11",2014,"A Primeira Missa ou Tristes Tropeços, Enganos e Urucum","Ana Carolina Teixeira Soares","CRYSTAL CINEMATOGRÁFICA LTDA","RJ","Pandora ","Ficção",4,"5.636,91","678"
"12",2014,"À Queima Roupa","Theresa Jessouroun","Urca Filmes; Kinofilmes","RJ","Downtown ","Documentário",3,"17.486,66","1.372"
"13",2014,"Alemão","José Eduardo Belmonte","CAMISA TREZE CULTURAL S/S LTDA","SP","Downtown/Paris","Ficção",368,"11.339.991,54","955.841"
"14",2014,"Alguém Qualquer","Tristan Aronovich","LATIN AMERICAN FILM INSTITUTE PRODUÇÕES AUDIOVISUAIS E COMERCIO LTDA","SP","Panda","Ficção",1,"7.833,79","568"
"15",2014,"Amazônia","Thierry Ragobert","Gullane Entretenimento S.A.","SP","Imovision ","Ficção",212,"971.164,95","78.667"
"16",2014,"Amazônia Eterna","Belisario França","GIROS INTERATIVA LTDA / FLUX EVENTOS E PROMOÇÕES LTDA","RJ / SP","Elo Company","Documentário",2,"2.836,55","220"
"17",2014,"Aos Ventos que Virão","Hermano Penna","Luz XXI Cine Video ltda","SP","Pandora ","Ficção",3,"22.420,46","2.266"
"18",2014,"Apneia","Mauricio Eça","JUBA FILMES PRODUÇÃO LTDA.","SP","Elo Company","Ficção",9,"37.792,71","3.188"
"19",2014,"As Aventuras do Avião Vermelho","Frederico Pinto, José Maia","CAMILA GONZATTO & FREDERICO PINTO LTDA - ME","RS","Imagem ","Animação",91,"211.259,98","20.089"
"20",2014,"Até que a Sbórnia nos Separe","Otto Guerra, Ennio Torresan Jr.","OTTO DESENHOS ANIMADOS LTDA","RS","Lotado Filmes","Animação",25,"140.835,16","10.673"
"21",2014,"Avanti Popolo","Michael Wahrmann ","DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP","SP","Vitrine Filmes","Ficção",17,"32.188,95","2.757"
"22",2014,"Bernardes","Gustavo Gama Rodrigues e Paulo de Barros","6D FILMES PRODUCOES CINEMATOGRAFICAS LTDA ME","RJ","Nossa Distribuidora ","Documentário",8,"21.400,33","1.681"
"23",2014,"Boa Sorte","Carolina Jabor","CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA","RJ","Imagem ","Ficção",179,"1.870.581,47","144.563"
"24",2014,"Brincante","Walter Carvalho ","GULLANE ENTRETENIMENTO S.A.","SP","Espaço Filmes ","Documentário",18,"64.387,28","4.911"
"25",2014,"Castanha","Davi Pretto","TOKYO FILMES LTDA","RS","Vitrine Filmes","Ficção",17,"29.311,14","2.958"
"26",2014,"Causa e Efeito","André Marouco","André Luis da Silva Marouço ME","SP","Downtown/Paris","Ficção",126,"983.325,25","83.413"
"27",2014,"Confia em Mim","Michel Tikhomiroff","RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA. (MIXER RIO)","RJ","Downtown/Paris","Ficção",67,"550.019,13","42.811"
"28",2014,"Confissões de Adolescente - o Filme","Daniel Filho e Cris D’Amato","Lereby Produções Ltda","RJ","Sony ","Ficção",394,"8.605.015,98","816.971"
"29",2014,"Copa de Elite","Vitor Brandt","Glaz Entretenimento","RJ","Fox","Ficção",269,"7.793.226,00","646.224"
"30",2014,"Coração de Leão","Marcos Carnevale","Unfinished Business Produções Artísticas, Cinematográficas e Audiovisuais Ltda.","RJ","H2O Films","Ficção",46,"372.720,93","25.936"
"31",2014,"Cuba Libre","Evaldo Mocarzel","Casa Azul Produções Artísticas","SP","Raiz Filmes","Documentário",2,"5.677,86","486"
"32",2014,"De Menor","Caru Alves de Souza","Tangerina Entretenimento","SP","Espaço Filmes ","Ficção",21,"95.990,55","7.967"
"33",2014,"Democracia em Preto e Branco","Pedro Asbeg","ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA","SP","TV Zero Cinema","Documentário",9,"17.983,50","1.274"
"34",2014,"Do Lado de Fora","Alexandre Carvalho","ALEXANDRE DA S. CARVALHO AUDIOVISUAL M.E.","SP","Elo Company","Ficção",30,"125.226,24","9.274"
